Unnamed: 0;idsbr;nama_usaha;alamat_usaha;kode_wilayah;kdprov;kdkab;kdkec;kddesa;nmprov;nmkab;nmkec;nmdesa;perusahaan_id;skor_kalo;kegiatan_usaha;rank_nama;rank_alamat;history_ref_profiling_id;skala_usaha;sumber_data;lat;long;latlong_status;gcid;gcs_result;allow_cancel;allow_edit;allow_flagging;latitude_gc;longitude_gc;latlong_status_gc;gc_username;nama_usaha_gc;alamat_usaha_gc;lat_2;long_2;cleaned_nama_usaha;sim_score;is_duplicate;gc_flag_duplikat;match_with;alamat_cek;cleaned_alamat;id_duplikat;kbli2d;nama_usaha_with_alamat_and_kbli;hasilgc;flag_shadow;is_perorangan;is_kurung;status_perusahaan;alamat_cleaned;RT;RW;is_in_perumahan;is_in_pasar;flag_notes;id_rtrw;lat2;long2;is_gced_alltime;;lat_1;long_1;tal_g2;long_g2;latitude;longitude
10763;6726789;AMMAR FATIH;Jl, Kapten Piere Tendean Gang. Qadar;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6Ikdud1MrUHg5NTNnd0Q1QXVvU1dvdkE9PSIsInZhbHVlIjoiMVIxaXBCMTFKU2M1L2NIMVlObzd0QT09IiwibWFjIjoiMTE4Mzc5ZDBkYjg4MDk2NjI2NzZmODhkMjA0MzQwMDE4MTRhYWI2ZjExZmMyM2Y2ZjY4ZjZiMDBjODAzMjJhMSIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: M, KBLI: 74909];;;15/12/2025;;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;ammar fatih;1;0;4;AMMAR FATIH;Jl, Kapten Piere Tendean Gang. Qadar;jl kapten piere tendean gang qadar;300;74;ammar fatih jl kapten piere tendean gang qadar kbli74;99;1;1;0;Perlu Konfirmasi;Jl Kapten Piere Tendean Gang Qadar;0;0;;;0;6401040004_0_0;;;0;;0;0;0;0;;
10776;16742193;RJM PATUJU;Mangkuruku No.16;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6IlRaWUE5M3V5dGl4T3FPN1BzRHBPY1E9PSIsInZhbHVlIjoiSng0NzhwYUJBdk5MSGV3WjJKV1NDZz09IiwibWFjIjoiYTM4ZjVjZmNkMDc1YTk0NTljOTI2MGJmNDllNjM2ZDRkMDJkMjBlN2I2N2ZjNDg2MGZlZTA4MTZkNmEyNTQ2MSIsInRhZyI6IiJ9;;"[Kegiatan Usaha: -, Kategori: -, KBLI: 45201]; [Kegiatan Usaha: -, Kategori: -, KBLI: 45407]";;;15/12/2025;;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;rjm patuju;1;0;4;RJM PATUJU;Mangkuruku No.16;mangkuruku no 16;301;45;rjm patuju mangkuruku no 16 kbli45;99;1;1;0;Perlu Konfirmasi;Mangkuruku No16;0;0;;;0;6401040004_0_0;;;0;;0;0;0;0;;
36;233832;Premkopad;JL NOTO SUNARDI (KODIM TANAH GROGOT);6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6Ind0SGNiWnFjd1QyMTdxYmhRVjNPY3c9PSIsInZhbHVlIjoiQnY3MHFlaXQvNkpvQ2pmdzNPMVlRdz09IiwibWFjIjoiMWYxMDIwZjVkOTEyMDlmNjIxZGViMmVkMGJjZGIxMjM5MTVlYjg2MDI3OTFlZGYxZjc0NDg4NDY4NDNkMTg0YiIsInRhZyI6IiJ9;;;;;19/05/2025;UB;;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;premkopad;0;0;0;;;jl noto sunardi kodim tanah grogot;;0;premkopad jl noto sunardi kodim tanah grogot kbli00;4;0;1;0;Duplikat;JL NOTO SUNARDI KODIM TANAH GROGOT;0;0;;;0;6401040004_0_0;;;0;;0;0;0;0;;
220;97341325;BAHTERA ADHIGUNA PT PERSERO PELAYARAN;Jl. Ahmad Yani No.103;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6InY2TVJ4SHEzQ1J2SmJ5R24xbjVQN1E9PSIsInZhbHVlIjoiekd6YXByV2NEQWgzZzBNSEdvSXFUQT09IiwibWFjIjoiM2JhNzkxYWI0N2MzYjhkNzBmNmUwY2VkZDVjYmE4ZWU2N2FkMDMxZGZjN2M3YjE0ZDVmYTZjZmViNjE5MzM3NSIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: H, KBLI: 50111];;;31/01/2025;UMKM;;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;bahtera adhiguna persero pelayaran;0;0;0;;;jl ahmad yani no 103;;50;bahtera adhiguna persero pelayaran jl ahmad yani no 103 kbli50;4;0;0;0;Duplikat;Jl Ahmad Yani No103;0;0;;;0;6401040004_0_0;;;0;;0;0;0;0;;
321;97341083;BANK MUAMALAT PT;JL RA KARTINI;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6IjhUdXNBUzBvSmdFU0F6b2d4ditROHc9PSIsInZhbHVlIjoiT0oraGV4UmlLajg2TngwSmk0dGVpQT09IiwibWFjIjoiMWY5OTc1ZjhmNTlkMzIxMDk5NTUxZmQ3OWRlNmQ3ODAwNTFlODM4NDdmMjVmZDA3OTM5YzkwNmI3NzljNTgzZCIsInRhZyI6IiJ9;;"[Kegiatan Usaha: LAYANAN PERBANKAN UMUM SWASTA SYARIAH, Kategori: K, KBLI: 64122]; [Kegiatan Usaha: ...";;;31/01/2025;UMKM;;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;bank muamalat;0;0;0;;;jl ra kartini;;64;bank muamalat jl ra kartini kbli64;4;0;0;0;Duplikat;JL RA KARTINI;0;0;;;0;6401040004_0_0;;;0;;0;0;0;0;;
332;97341119;KOPERASI MANGKUBEN;JALAN PANGERAN MENTRI;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6InoyYnRPY2k5VG8yRWRSdVUrZzdJekE9PSIsInZhbHVlIjoiV0VZU256V1JqNWtqZWlqWmtKOWtzUT09IiwibWFjIjoiY2FmYTFjM2ZjMTY1MmQyZWNjNGVjZGRiYTgzZTlhNjE5NGRkOTI0YmZhODk5Zjk4M2QwNzI3MzE4MzFiY2IyYiIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: K, KBLI: 64141];;;05/06/2025;UMKM;;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;mangkuben;0;0;0;;;jalan pangeran mentri;;64;mangkuben jalan pangeran mentri kbli64;4;0;1;0;Duplikat;JALAN PANGERAN MENTRI;0;0;;;0;6401040004_0_0;;;0;;0;0;0;0;;
405;97341390;ACC ELEKTRONIK <AHMAD BARKATI>;JALAN RA KARTINI;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6ImlNNGNDaE5HRG82T0JSdnpQM1VwQlE9PSIsInZhbHVlIjoibCttaUloYkwxV1FyYzVOSFlMdGxlZz09IiwibWFjIjoiMGRiNDYzZjcwMjIxODEyMzE4YzNiMTQzMTA0YjA4ZDFiMWNhZTMyMTlhZDBkMDA4NTc0YjVmMTlkMWM4MTc1OSIsInRhZyI6IiJ9;;"[Kegiatan Usaha: MENJUAL ALAT ELEKTRONIK, Kategori: G, KBLI: 47592]; [Kegiatan Usaha: PERDAGANGAN EC...";;;15/05/2025;UMKM;;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;acc elektronik ahmad barkati;0;0;0;;;jalan ra kartini;;47;acc elektronik ahmad barkati jalan ra kartini kbli47;4;0;1;1;Duplikat;JALAN RA KARTINI;0;0;;;0;6401040004_0_0;;;0;;0;0;0;0;;
441;97333854;PRIMKOBHA (KOPERASI);POLRES PASER;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6IlRnSlJoNTMvNjFFazJLVTk1blhLQ1E9PSIsInZhbHVlIjoiclhwSTdNV2ZPcUJLZEl3K3l3ays3QT09IiwibWFjIjoiMWM5ZDJiNmMxOWE1ZGRlM2ZlZmMxMWU0NjY0OGVmOGNhMmE5ZWUzMjZiMGQxNmY1ZDI1OGI3Y2QzZTU0N2Y5YSIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: K, KBLI: 64141];;;22/05/2025;UMKM;;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;primkobha;0;0;0;;;polres paser;;64;primkobha polres paser kbli64;4;0;1;0;Duplikat;POLRES PASER;0;0;;;0;6401040004_0_0;;;0;;0;0;0;0;;
448;97333812;KOPERASI BINA USAHA;JL KH DEWANTARA DEPAN SMKN 1;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6IjRjMlNHU3U0dURkUmNLUlVYRVRaa3c9PSIsInZhbHVlIjoibHNWYmhzUmFNZVNCcE1vais3NU1rUT09IiwibWFjIjoiOWUwMDE1MDdjMWQ0ZDJmNmU0NDhjZTE3N2EzMWUzMDA5ZWM3ZmRlODE4MWVkZTc3NzdlMmRlYmY1NTUxZThjZSIsInRhZyI6IiJ9;;"[Kegiatan Usaha: SIMPAN PINJAM, Kategori: K, KBLI: 64141]; [Kegiatan Usaha: JASA SIMPN PINJAM, Kateg...";;;19/05/2025;UMKM;;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;bina usaha;0;0;0;;;jl kh dewantara depan smkn 1;;64;bina usaha jl kh dewantara depan smkn 1 kbli64;4;0;1;0;Duplikat;JL KH DEWANTARA DEPAN SMKN 1;0;0;;;0;6401040004_0_0;;;0;;0;0;0;0;;
484;97337166;KOPERASI MITRA SEJAHTERA;JALAN KIHAJAR DEWANTARA NO 9;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6Ijc3QUNzbHlJZ1lDWG5JSzVMZ0RpOFE9PSIsInZhbHVlIjoiaHpzVHZtbnJ0akhKa0M3RCtyWHNaQT09IiwibWFjIjoiY2UwN2RjNzVmYTBiYzdjY2JjODA2MTI0Yzk1ZjY2ZjNkY2E3NDEwOTA4ZjBmMWRiMTJiYWQ5ZDBjMWQ1MmYwNSIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: K, KBLI: 64141];;;07/01/2025;UMKM;;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;mitra sejahtera;0;0;0;;;jalan kihajar dewantara no 9;;64;mitra sejahtera jalan kihajar dewantara no 9 kbli64;4;0;1;0;Duplikat;JALAN KIHAJAR DEWANTARA NO 9;0;0;;;0;6401040004_0_0;;;0;;0;0;0;0;;
703;97333428;KLINIK BPS <BIDAN PRAKTEK SWASTA>;JLN JENDRAL SUDIRMAN;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6Imt6NVVUUDlST1l1bjJKVXd6RWxYQ0E9PSIsInZhbHVlIjoiZ0U5R3NWY2gyQXR5NDdhK0s0NDg2QT09IiwibWFjIjoiMzRlMzE3ZGI3NDdhN2YzNjAyNGFmZjRkODZiOGI0MGM0NGIyYzE1NDE1NzM1MTJjOTI2OGYxOGJkM2YyMGE2NCIsInRhZyI6IiJ9;;[Kegiatan Usaha: PERSALINAN, Kategori: Q, KBLI: 86901];;;10/02/2025;UMKM;;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;klinik bps bidan praktek swasta;0;0;0;;;jln jendral sudirman;;86;klinik bps bidan praktek swasta jln jendral sudirman kbli86;4;0;1;1;Duplikat;JLN JENDRAL SUDIRMAN;0;0;;;0;6401040004_0_0;;;0;;0;0;0;0;;
