idsubsls;idsls;kdprov;kdkab;kdkec;kddesa;kdsls;kdsubsls;nmprov;nmkab;nmkec;nmdesa;nmsls;centroid_y;centroid_x
6.40101E+15;6.40101E+13;64;1;10;9;1;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SAMURANGAU;RT 001;-1.87998;115.890731
6.40101E+15;6.40101E+13;64;1;10;9;2;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SAMURANGAU;RT 002;-1.90309;115.891495
6.40101E+15;6.40101E+13;64;1;10;9;3;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SAMURANGAU;RT 003;-1.92847;115.871828
6.40101E+15;6.40101E+13;64;1;10;10;1;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BUSUI;RT 001;-1.79118;115.868303
6.40101E+15;6.40101E+13;64;1;10;10;2;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BUSUI;RT 002;-1.75638;115.86452
6.40101E+15;6.40101E+13;64;1;10;10;3;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BUSUI;RT 003;-1.73064;115.827309
6.40101E+15;6.40101E+13;64;1;10;10;4;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BUSUI;RT 004;-1.7363;115.822407
6.40101E+15;6.40101E+13;64;1;10;10;5;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BUSUI;RT 005;-1.71906;115.878188
6.40101E+15;6.40101E+13;64;1;10;10;6;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BUSUI;RT 006;-1.86348;115.77876
6.40101E+15;6.40101E+13;64;1;10;11;1;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 001;-1.82229;115.934275
6.40101E+15;6.40101E+13;64;1;10;11;2;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 002;-1.82383;115.927529
6.40101E+15;6.40101E+13;64;1;10;11;3;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 003;-1.82281;115.925005
6.40101E+15;6.40101E+13;64;1;10;11;4;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 004;-1.83122;115.930144
6.40101E+15;6.40101E+13;64;1;10;11;5;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 005;-1.83225;115.937625
6.40101E+15;6.40101E+13;64;1;10;11;6;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 006;-1.83294;115.932091
6.40101E+15;6.40101E+13;64;1;10;11;7;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 007;-1.83244;115.929144
6.40101E+15;6.40101E+13;64;1;10;11;7;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 007;-1.82897;115.928282
6.40101E+15;6.40101E+13;64;1;10;11;8;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 008;-1.82971;115.927678
6.40101E+15;6.40101E+13;64;1;10;11;9;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 009;-1.83223;115.927412
6.40101E+15;6.40101E+13;64;1;10;11;9;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 009;-1.82968;115.926573
6.40101E+15;6.40101E+13;64;1;10;11;10;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 010;-1.83839;115.923679
6.40101E+15;6.40101E+13;64;1;10;11;10;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 010;-1.83536;115.926102
6.40101E+15;6.40101E+13;64;1;10;11;11;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 011;-1.8347;115.926072
6.40101E+15;6.40101E+13;64;1;10;11;11;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 011;-1.83453;115.92652
6.40101E+15;6.40101E+13;64;1;10;11;11;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 011;-1.83389;115.92534
6.40101E+15;6.40101E+13;64;1;10;11;12;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 012;-1.833;115.926866
6.40101E+15;6.40101E+13;64;1;10;11;12;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 012;-1.8333;115.926125
6.40101E+15;6.40101E+13;64;1;10;11;13;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 013;-1.83776;115.926887
6.40101E+15;6.40101E+13;64;1;10;11;13;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 013;-1.83873;115.926901
