;"ï»¿""idsbr""";nama_usaha;alamat_usaha;kode_wilayah;kdprov;kdkab;kdkec;kddesa;nmprov;nmkab;nmkec;nmdesa;perusahaan_id;status_perusahaan;skor_kalo;kegiatan_usaha;rank_nama;rank_alamat;history_ref_profiling_id;skala_usaha;sumber_data;latitude;longitude;latlong_status;gcid;gcs_result;allow_cancel;allow_edit;allow_flagging;latitude_gc;longitude_gc;latlong_status_gc;gc_username;nama_usaha_gc;alamat_usaha_gc;cleaned_nama_usaha;cleaned_alamat;sim_score;is_duplicate;gc_flag_duplikat;match_with;alamat_cek;id_duplikat;kbli2d;nama_usaha_with_alamat_and_kbli;hasilgc_recode;flag_shadow;is_perorangan;is_kurung
0;233773;KUD KARYA MUKTI;Labuhan Batu/PIR P. Klato 3, P. Blengkong;6401030011;64;1;30;11;KALIMANTAN TIMUR;PASER;PASIR BELENGKONG;LABURAN BARU;eyJpdiI6IjZHVTFrTEU3clg1bG44MC81bDAxU2c9PSIsInZhbHVlIjoiamJFK0lieDJYM29nV1pRdXk2UUIrQT09IiwibWFjIjoiYmFlODA3YTQ1MzAyNmFmYmFiZDViZmEyYjM4ZjQ1YzAwOGVkZjdiN2ExZDE0OWVjYTM3NTZmOGI1NTY3NDIzZiIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;kud karya mukti;labuhan batu pir p klato 3 p blengkong;0;0;1;;;;0;kud karya mukti labuhan batu pir p klato 3 p blengkong kbli00;99;0;1;0
1;233770;KOP. SEJAHTERA;Laburan, P. Blengkong;6401030;64;1;30;;KALIMANTAN TIMUR;PASER;PASIR BELENGKONG;;eyJpdiI6IkdmSGtJa2RQYk9uWFJJOUhNaEl4TXc9PSIsInZhbHVlIjoidEM0ZUZBc1RuczRjL0dzc0VKcU5EUT09IiwibWFjIjoiOThhZGQ2YzU4YjYwMTA0YzBjZTUyOWM0Mjk0YjA3NjZhMjJmN2YzZTQ2MjNkNWUxMWE5Y2UwZDFlZTNhZDlkMCIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;sejahtera;laburan p blengkong;0;0;4;;;;0;sejahtera laburan p blengkong kbli00;99;0;1;0
2;233771;KOP. MITRA SEJAHTERA;Suatang Baru, P. Blengkong;6401030015;64;1;30;15;KALIMANTAN TIMUR;PASER;PASIR BELENGKONG;SUATANG KETEBAN;eyJpdiI6IlhEMjZycVlIMDJNc0paaXk5YnlVYWc9PSIsInZhbHVlIjoiYlpkZmtmYWNLcnIzazREN1NrWVpEZz09IiwibWFjIjoiODBjMzJiYzA4NTc4ZTQ1YTY4MTVkNjg2YWU3Y2FjNjA0YmQxYWJhMTc4YTQ4MTI1N2NiYzA4MzI5MjUyODQzMSIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;mitra sejahtera;suatang baru p blengkong;0;0;4;;;;0;mitra sejahtera suatang baru p blengkong kbli00;99;0;1;0
3;233792;KOP. SEMANGAT BARU;Pepara, Tanah Grogot;6401040006;64;1;40;6;KALIMANTAN TIMUR;PASER;TANAH GROGOT;PEPARA;eyJpdiI6IlByOFRZcjVpRm8vYlppR1ExTDN1Z2c9PSIsInZhbHVlIjoiWDl6dlR1aW1lRjJmcHp0NlNPRWtpdz09IiwibWFjIjoiNGNhNjA1OGM5YWM2NjhhNjc5NjcyOTAwMzZhYmFkODRjMTQ4NTc0MDk5NzA1NmE4MDQyMmZhZTUxMGYxMDFiNyIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;semangat baru;pepara tanah grogot;0;0;4;;;;0;semangat baru pepara tanah grogot kbli00;99;0;1;0
4;233767;KOP.TAKA JAYA;Bekoso, P. Blengkong;6401030002;64;1;30;2;KALIMANTAN TIMUR;PASER;PASIR BELENGKONG;BEKOSO;eyJpdiI6Ilp0WS9wTXVwaVd1dVVLVk9PWmZva2c9PSIsInZhbHVlIjoieSs2Ri9tL2VlUCt1enl1eGZzcldiUT09IiwibWFjIjoiYWI5ODRlZjk3YjExZjQwYTBiMjlmN2M0NWUzN2EzOWZjNGU0NmI1NzRkMWVlMDdhMDJhMDk1ODI4MjYxNDBkMiIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;taka jaya;bekoso p blengkong;0;0;4;;;;0;taka jaya bekoso p blengkong kbli00;99;0;1;0
5;233835;KOPKAN HARAPAN KITA;Ds. Tanjung Aru, Kec. Tanjung Aru;6401022002;64;1;22;2;KALIMANTAN TIMUR;PASER;TANJUNG HARAPAN;TANJUNG ARU;eyJpdiI6IkZrbnNNcFViUXdXSHZDVjhZUEpzSlE9PSIsInZhbHVlIjoiekJIKzBHWTVoWkc0eWswZTJtbU1oUT09IiwibWFjIjoiZTVkOWE0ZTE5NDcyNDMwNjZlN2Y2MTg3ZmE3MTM3OWU4YjBhY2IyZDlkYjFmM2E3YzIyM2RhMjYzY2Y1ZDEyZCIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;kopkan harapan kita;ds tanjung aru kec tanjung aru;0;0;4;;;;0;kopkan harapan kita ds tanjung aru kec tanjung aru kbli00;99;0;1;0
6;233837;KOPTAN TANI NUSANTARA;Ds. Mengkudu, Kec. Tanjung Aru;6401021003;64;1;21;3;KALIMANTAN TIMUR;PASER;BATU ENGAU;MENGKUDU;eyJpdiI6IjNxbDhiYkJNd25HYmt2M1JmTXVRY0E9PSIsInZhbHVlIjoiaHEzaDBqejRpaktJZWpiUERsZmpkZz09IiwibWFjIjoiMDg4ODQ2ODAxMzJlNmRhNjdlNjEwNGZmNWUxZGIwN2IyMzRlNWRiZTA5YWZhNjBjMjIwN2ZiNzc0OTI3NjI1MCIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;koptan tani nusantara;ds mengkudu kec tanjung aru;0;0;4;;;;0;koptan tani nusantara ds mengkudu kec tanjung aru kbli00;99;0;0;0
7;233838;KUD MANDUAN;Ds. Kerang, Kec. Tanjung Aru;6401021001;64;1;21;1;KALIMANTAN TIMUR;PASER;BATU ENGAU;KERANG;eyJpdiI6IklLdzgzQkc3ckRhdURkQnRheUNtYnc9PSIsInZhbHVlIjoiK05iSEx6bG0xTEdTR1JqSks5dFQ1UT09IiwibWFjIjoiZWQ1YjZhOTY4MWFkZGEzYzRhYTQ5MzI2M2UyNWQ5ODhmNDczZDNlODk0OTczNzY1MTljZTdhNzBmNGJlZTVjMyIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;kud manduan;ds kerang kec tanjung aru;0;0;4;;;;0;kud manduan ds kerang kec tanjung aru kbli00;99;0;1;0
8;233839;KUD HARAPAN MAJU;UPT Kerang Tampakan II, Kec. Tanjung Aru;6401021002;64;1;21;2;KALIMANTAN TIMUR;PASER;BATU ENGAU;TEMPAKAN;eyJpdiI6Ii9TQ3RYL2h4VjV3cTJEYjhRMTBTMWc9PSIsInZhbHVlIjoiNG9xdll0Y1c1cnZya25UdG5WcU5Ndz09IiwibWFjIjoiNmE1MGVjY2M5NzE2NTVlY2Q1ODEwNTUyN2ViZGI3ODZkOWJlMTgzZmEyYjc2YTMyZWUyNGNmMjFmYzY0YmJlNiIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;kud harapan maju;upt kerang tampakan ii kec tanjung aru;0;0;4;;;;0;kud harapan maju upt kerang tampakan ii kec tanjung aru kbli00;99;0;1;0
9;194692;PERKEBUNAN NUSANTARA XIII  (KEBUN LONG KALI), PT;LINGKUNGAN RT/RW 017;6401080012;64;1;80;12;KALIMANTAN TIMUR;PASER;LONG KALI;MUNGGU;eyJpdiI6InUyQWlqZDh2c2dqSUljQ3ptNWlOSEE9PSIsInZhbHVlIjoidUgzNithYkRBUExDME9Rc2l3ZVRpUT09IiwibWFjIjoiMmQ3MDY2NDI1MzJhNDA5ZTRhNGFjZWEzYmVhYWNmMWE3ZDllYjcyZGJjMzZlZDliMDhlZWZjZjYxMWFmOTc2OCIsInRhZyI6IiJ9;Tidak Ditemukan;;[Kegiatan Usaha: PERKEBUNAN KELAPA SAWIT, Kategori: A, KBLI: 01262];;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;perkebunan nusantara xiii kebun long kali;lingkungan rt rw 017;0;0;4;;;;1;perkebunan nusantara xiii kebun long kali lingkungan rt rw 017 kbli01;99;0;0;0
