"idsbr";"nama_usaha";"alamat_usaha";"kode_wilayah";"kdprov";"kdkab";"kdkec";"kddesa";"nmprov";"nmkab";"nmkec";"nmdesa";"perusahaan_id";"status_perusahaan";"skor_kalo";"kegiatan_usaha";"rank_nama";"rank_alamat";"history_ref_profiling_id";"skala_usaha";"sumber_data";"latitude";"longitude";"latlong_status";"gcid";"gcs_result";"allow_cancel";"allow_edit";"allow_flagging";"latitude_gc";"longitude_gc";"latlong_status_gc";"gc_username";"nama_usaha_gc";"alamat_usaha_gc"
"22365";"PT. RADIO RIZKI INDAH ANANDA";"JALAN PANGERAN ANTASARI RT 09 NO.6";"6401040004";"64";"01";"040";"004";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"TANAH GROGOT";"eyJpdiI6IkczWnNlSFFMSGYzcFhLZ3JXMURnTlE9PSIsInZhbHVlIjoiTzhEOHJNL3QxUzJFd1BteEdZUjZYUT09IiwibWFjIjoiMzNhMmRlNmFkNTU5MjI3ZjMxMWY0ZDllZDA4NGY1NDUwZjQwNjBlYWUyZDljYzVkOWRjZDI1ZWRjZTlmY2YzNiIsInRhZyI6IiJ9";"Aktif";"";"[Kegiatan Usaha: PENYIARAN RADIO, Kategori: J, KBLI: 60102]";"";"";"2025-05-19";"UMKM";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"153205";"HARBERS MANDIRI, PT";"Jl. Ahmad Yani No. 05";"6401040004";"64";"01";"040";"004";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"TANAH GROGOT";"eyJpdiI6IjJZZnk0eUNjbUJYdGJzRndVRXVjTFE9PSIsInZhbHVlIjoiaktPVU5SZyswbVFDVk5MRTVjbDY0QT09IiwibWFjIjoiMmMyZWIyZGM3NjUwYTgwODhhYWVjNTQ4MGI5OGEwYjFiZjA0ZDFkODQwNjBjYTBmYTZlNjA5ZjIzZGExMzM4NiIsInRhZyI6IiJ9";"Aktif";"";"[Kegiatan Usaha: KONSTRUKSI GEDUNG, Kategori: F, KBLI: 41019]";"";"";"2025-11-10";"UMKM";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"153218";"RINDANG, PT";"Jl. Hos. Cokroaminoto No. 61";"6401040004";"64";"01";"040";"004";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"TANAH GROGOT";"eyJpdiI6IlZDZkl5TFdJWXpQR0J3RndZbXlFZ0E9PSIsInZhbHVlIjoia0MzbEI4TmdMbVhVRDJJMmZjb202dz09IiwibWFjIjoiOTZhYjM3N2Y4ZWE0ZDc0MTc0MGIyYzQ2N2QwYzZkMWFiYTQwZGJkZjZkMWI0NjIzMGE4ZTUxMTcwZTg1NmJlMCIsInRhZyI6IiJ9";"Aktif";"";"[Kegiatan Usaha: KONSTRUKSI SIPIL, Kategori: F, KBLI: 42101]";"";"";"2025-11-29";"UMKM";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"153212";"NASIONAL NUANSA NUSANTARA, PT";"Jl. Lambung Mangkurat No. 33";"6401040004";"64";"01";"040";"004";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"TANAH GROGOT";"eyJpdiI6Im94VzBGOXUrdUJrUFpVZ2cvYk9KR0E9PSIsInZhbHVlIjoiaGRGYllqbmZPZFVSS2VHd3M4WGc5dz09IiwibWFjIjoiZTMzYTVlMWM5MzMwNjUwYzZmMjk2OWM1NjJhNjQyZDg5OTkyN2M1OTQzNjc1YzJkYWEyNzVkZjk2ZjhlMGRhOCIsInRhZyI6IiJ9";"Tutup";"";"[Kegiatan Usaha: Konstruksi Gedung, Kategori: F, KBLI: 41012]";"";"";"2025-12-15";"UMKM";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"153216";"PASER WANGI, PT";"JL KAPTEN PIERE TENDEAN NO 07";"6401040004";"64";"01";"040";"004";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"TANAH GROGOT";"eyJpdiI6ImI3Q2pYbjluMEdxMlo3TEdrL3ByQkE9PSIsInZhbHVlIjoiV3l4QU1XS3prNEtvZTFrM2grZFlkUT09IiwibWFjIjoiMjkzNmRmMmY1ZGY1YWRmNzdmNGEzNzFiNzVkZDQ1MWQ5NGIzOGEwMDE3OGM1ZDdkODllMDZlMjhlNDliMDcwMSIsInRhZyI6IiJ9";"Aktif";"";"[Kegiatan Usaha: JASA KONSULTAN KONSTRUKSI, Kategori: M, KBLI: 71101]; [Kegiatan Usaha: KONTRUKSI, K...";"";"";"2025-05-23";"UMKM";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"194692";"PERKEBUNAN NUSANTARA XIII  (KEBUN LONG KALI), PT";"LINGKUNGAN RT/RW 017";"6401080012";"64";"01";"080";"012";"KALIMANTAN TIMUR";"PASER";"LONG KALI";"MUNGGU";"eyJpdiI6IkgzbnhtL05rcEJxeTVnSmoxWUE3Y1E9PSIsInZhbHVlIjoieVowaEZjeFRWYnJ3YkNkM1V0OWJCUT09IiwibWFjIjoiZTI0OTI3NGNkYTQ2NzNmYTUxZWRiMmZjMjFiYWY2M2VlODVjYWVjOTJiNmIyMzgwMmY5YWIxOWJiYjM1ZWMxMyIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"[Kegiatan Usaha: PERKEBUNAN KELAPA SAWIT, Kategori: A, KBLI: 01262]";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233716";"KOP. MUJARAT TAKA";"Basui, Batu Sopang";"6401010010";"64";"01";"010";"010";"KALIMANTAN TIMUR";"PASER";"BATU SOPANG";"BUSUI";"eyJpdiI6IjdDQWo0YUJJMXloSVBLdmlteHIxbmc9PSIsInZhbHVlIjoiejVCelFwQVZ2UlVTNjJPSXlLajdUZz09IiwibWFjIjoiMTg2NTFiZDFkYWViYWRlNjZkYWIxZDU5MDFhOWI0ZGI5Nzc5MjE1NzkxMGM2MmQzYzc0YWNlNzUyYjUxYzU2YSIsInRhZyI6IiJ9";"Aktif";"";"";"";"";"2025-12-04";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233726";"KOP. KARYA TANI";"Teluk Waru, Long Ikis";"6401060007";"64";"01";"060";"007";"KALIMANTAN TIMUR";"PASER";"LONG IKIS";"TELUK WARU";"eyJpdiI6IkxvWWRJYkhYZXJvRWhMemZqNW1reEE9PSIsInZhbHVlIjoienpwb0J3VktlWFRSTEs4cDBiaHMvUT09IiwibWFjIjoiM2VmZTM0ODcyMDI5MzA2Yjc2NjU3ZDg5NzZhZDc4YTRiYWE4ZjViY2Y0NDlmMDJlNzE2N2Q2N2Q4MGQ3ZDkzMyIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-21";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233731";"KUD SETIA KAWAN";"Krayan Abadi, Long Ikis";"6401060";"64";"01";"060";"";"KALIMANTAN TIMUR";"PASER";"LONG IKIS";"";"eyJpdiI6Ii9uUnpUUEpUNHFkM2FockhoVWFuS1E9PSIsInZhbHVlIjoiT2QrSURna3h1eXdKenpIbEpLbHpvZz09IiwibWFjIjoiZmY4MTM2NTkxYTQ3NDA5NzQ0MTY2YmFjZTRkN2UxNWMyZDE3ZjRiNjMyOWQ3YTBhNGJhYWFlODIyMDY5YzdjYiIsInRhZyI6IiJ9";"Tutup Sementara";"";"[Kegiatan Usaha: Koperasi, Kategori: K, KBLI: 64141]";"";"";"2025-01-31";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233733";"KUD BINA USAHA";"Krayan Sejahtera, Long Ikis";"6401060";"64";"01";"060";"";"KALIMANTAN TIMUR";"PASER";"LONG IKIS";"";"eyJpdiI6IjZrRnhCNVh2SEhuYk1wKzdWTVVtSVE9PSIsInZhbHVlIjoiMmJ5bTR0Vll1M3FWR2lIa0NQWUp0QT09IiwibWFjIjoiZDExYmJiNDI3ZjYxYzg2ZmFjNzg4NTc0MzFhNWZlNWY4M2EyNTJhZGM0OTdkZWEyZmQ4NTI1ZDk4YmIzZDliNyIsInRhZyI6IiJ9";"Tutup Sementara";"";"[Kegiatan Usaha: Koperasi, Kategori: K, KBLI: 64141]";"";"";"2025-01-31";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
