idsbr;gc_username;is_gced
22365;;0
153205;;0
153209;;0
153212;;0
153216;;0
153218;;0
153220;;0
194681;adib.tamtama;1
194688;raka.prawira;1
194692;;0
194693;raka.prawira;1
209150;raka.prawira;1
233716;;0
233717;raka.prawira;1
233720;raka.prawira;1
233725;raka.prawira;1
233726;;0
233728;raka.prawira;1
233731;;0
233733;;0
233739;;0
233744;raka.prawira;1
233746;;0
233747;;0
233749;raka.prawira;1
233750;raka.prawira;1
233751;raka.prawira;1
233754;raka.prawira;1
233755;raka.prawira;1
233758;raka.prawira;1
233759;;0
233760;;0
233762;;0
233763;;0
233764;adib.tamtama;1
233767;;0
233770;;0
233771;;0
233773;;0
233778;raka.prawira;1
233784;raka.prawira;1
233785;raka.prawira;1
233786;raka.prawira;1
233787;raka.prawira;1
233788;raka.prawira;1
233790;raka.prawira;1
233791;raka.prawira;1
233792;;0
233794;raka.prawira;1
233796;raka.prawira;1
233797;;0
233799;;0
233800;raka.prawira;1
233803;;0
233806;;0
233812;raka.prawira;1
233813;;0
233815;raka.prawira;1
233816;;0
233817;raka.prawira;1
233818;raka.prawira;1
233819;raka.prawira;1
233820;raka.prawira;1
233821;raka.prawira;1
233824;raka.prawira;1
233828;raka.prawira;1
233832;;0
233835;;0
233836;raka.prawira;1
233837;;0
233838;;0
233839;;0
2470335;raka.prawira;1
2470614;;0
2470816;;0
2471704;raka.prawira;1
2472904;raka.prawira;1
2473239;raka.prawira;1
2476309;;0
2476808;adib.tamtama;1
2477668;;0
2478177;raka.prawira;1
2478369;;0
2479879;raka.prawira;1
2480093;;0
2480521;;0
2480627;;0
2481521;;0
2485319;;0
2485853;;0
2490364;;0
2490673;;0
2491380;;0
2491397;;0
2491483;raka.prawira;1
2493307;adib.tamtama;1
2494372;;0
2494513;;0
2494747;;0
2496521;;0
2498088;;0
2498789;;0
2499583;;0
2501370;;0
2502129;;0
2502817;;0
2503034;;0
2505663;;0
2506291;;0
2508059;;0
2510112;;0
2510598;adib.tamtama;1
2512401;;0
2513220;;0
2514170;;0
2515766;;0
2517470;;0
2518839;raka.prawira;1
2520071;raka.prawira;1
2520839;raka.prawira;1
2523284;;0
2524742;adib.tamtama;1
2524754;;0
2524825;;0
2525516;;0
2526985;;0
2527383;;0
2527920;raka.prawira;1
2527961;;0
2528083;;0
2528715;;0
2529794;;0
2530509;;0
2531274;;0
2531812;;0
2533962;raka.prawira;1
2534311;;0
2535507;;0
2535641;;0
2535731;;0
2535815;raka.prawira;1
2537050;;0
2538787;;0
2538940;;0
2542933;;0
2543750;;0
2544014;raka.prawira;1
2544115;;0
2544573;;0
2544938;;0
2546180;;0
2546682;;0
2547588;;0
2548813;adib.tamtama;1
2549484;;0
2550075;;0
2550258;;0
2550797;;0
2554381;raka.prawira;1
2554679;;0
2555677;;0
2555703;;0
2556093;;0
2558084;;0
2558561;;0
2559619;raka.prawira;1
2560817;;0
2561077;raka.prawira;1
2562272;raka.prawira;1
2562287;;0
2562704;;0
2562758;raka.prawira;1
2564766;raka.prawira;1
2566134;;0
2567850;;0
2570860;;0
2573601;;0
2575607;;0
2576014;;0
2576548;;0
2577506;adib.tamtama;1
2578076;;0
2579872;;0
2583276;;0
2583429;raka.prawira;1
2584556;;0
2587872;;0
2588540;;0
2589297;;0
2589513;adib.tamtama;1
2591665;;0
2591668;;0
2591978;;0
2592616;;0
2592966;;0
2595163;adib.tamtama;1
2595218;;0
2596069;;0
2596556;;0
2596716;raka.prawira;1
2596780;;0
2597235;;0
2598435;;0
2599437;;0
2599456;raka.prawira;1
2599894;;0
2600216;;0
2601230;;0
2602334;;0
2602958;;0
2604217;;0
2604267;;0
2605795;;0
2606678;;0
2608699;;0
2609162;;0
2609765;;0
2612285;;0
2613836;adib.tamtama;1
2614055;;0
2614220;raka.prawira;1
2615283;;0
2616779;;0
2616947;;0
2617223;;0
2618276;raka.prawira;1
2618343;;0
2618400;adib.tamtama;1
2618974;;0
2619963;;0
2620379;;0
2621007;;0
2621407;;0
2621528;;0
2621723;;0
2622433;adib.tamtama;1
2623676;raka.prawira;1
2624664;;0
2624949;;0
2626232;;0
2628975;raka.prawira;1
2629278;;0
2629681;;0
2630563;raka.prawira;1
2630901;;0
2631235;;0
2632806;;0
