Unnamed: 0;idsbr;nama_usaha;alamat_usaha;kode_wilayah;kdprov;kdkab;kdkec;kddesa;nmprov;nmkab;nmkec;nmdesa;perusahaan_id;skor_kalo;kegiatan_usaha;rank_nama;rank_alamat;history_ref_profiling_id;skala_usaha;sumber_data;lat1;long1;latlong_status;gcid;gcs_result;allow_cancel;allow_edit;allow_flagging;latitude_gc;longitude_gc;latlong_status_gc;gc_username;nama_usaha_gc;alamat_usaha_gc;lat_2;long_2;cleaned_nama_usaha;sim_score;is_duplicate;gc_flag_duplikat;match_with;alamat_cek;cleaned_alamat;id_duplikat;kbli2d;nama_usaha_with_alamat_and_kbli;hasilgc;flag_shadow;is_perorangan;is_kurung;status_perusahaan;alamat_cleaned;RT;RW;is_in_perumahan;is_in_pasar;flag_notes;id_rtrw;latitude;longitude;is_gced_alltime;is_gc_hari_ini
889;97333562;HOTEL IMAN;jl tambang rt 24;6401010011;64;1;10;11;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;eyJpdiI6ImlCemZOR01DVUNHUFpjelEwanIyd2c9PSIsInZhbHVlIjoiNlVPV1RrZERQNGMyOFo1azRxaWFQUT09IiwibWFjIjoiM2Y0NDg5NDA5ZDI1ZGZmMzlkN2JlZmNjZjZlY2Y1OTQwMzJiZDgwMjU0ODAyZWQwMjZlYTY3ZjBmYjBkMDY4MCIsInRhZyI6IiJ9;;[Kegiatan Usaha: penyediaan kamar kosan, Kategori: L, KBLI: 68111];;;45985;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;-1.820038333;115.9134883;hotel iman;0;0;0;;;jl tambang rt 24;;68;hotel iman jl tambang rt 24 kbli68;1;0;1;0;Alih Usaha;jl tambang rt 24;24;0;;;NAIK 0702 - 15.15 WITA;6401010011_24_0;-1.820038333;115.9134883;0;0
4510;6638213;SARANG WALET PONDOK PESANTREN DARUSSALAM;BATU KAJANG RT 017;6401010011;64;1;10;11;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;eyJpdiI6IndpUzVzU09YTjRrdlVRUUZzdU1Qd1E9PSIsInZhbHVlIjoicDA1Lyt4TlVQaHZhZU1jMkMrb3NIUT09IiwibWFjIjoiMDI5ZTJhMTgwMDNlMDliZjUwN2ZhZGMwNGZkZjA5NDRhZGY3OGU5YTE2NTg3Y2RlMmU4YmY2OWI1NjE5MDJmNyIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: A, KBLI: -];;;45985;;;-1.851308251;115.9305178;valid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;sarang walet pondok pesantren darussalam;0;0;0;;;batu kajang rt 017;;0;sarang walet pondok pesantren darussalam batu kajang rt 017 kbli00;1;0;1;0;Aktif Nonrespons;BATU KAJANG RT 017;17;0;;;NAIK 0702 - 15.15 WITA;6401010011_17_0;-1.84939;115.938747;0;0
7691;28921950;KLINIK EKMS <ELISABETH ROIDA PANE>;Jalan Negara RT. 22;6401010011;64;1;10;11;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;eyJpdiI6InVBQmc0QnRHWEJCQlRITmdONDhWVnc9PSIsInZhbHVlIjoiZmlmV0ltTGR0c1NoSVYrTlE4VzNkZz09IiwibWFjIjoiNDJjNmY4NzhiNzZjMjg1MjgyZjRmZWM2ZWI0YjQ4MTVlMWYyZjA1NGZkMjljZTE0NDk1Yzg4OGM5NjNmN2M1OCIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: -, KBLI: 86105];;;45998;;OSS - Perorangan;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;-1.826583333;115.9198017;klinik ekms elisabeth roida pane;0;0;0;;;jalan negara rt 22;;86;klinik ekms elisabeth roida pane jalan negara rt 22 kbli86;4;0;1;1;Duplikat;Jalan Negara RT 22;22;0;;;NAIK 0702 - 15.15 WITA;6401010011_22_0;-1.826583333;115.9198017;0;0
646;97333483;SEDOTAN PASIR;TOKARE;6401010011;64;1;10;11;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;eyJpdiI6IlE4aGMwWkY2TzR5OHZYL3UxUjlzcnc9PSIsInZhbHVlIjoiUzh1TlJjT0ZkMVNCZTlmNXlVdnRTQT09IiwibWFjIjoiYzI5MDA3ZDFhYTY3MGQ4ODJmMGIwMWFjYmQzZGE0NTRhMTQ4ZThkMjk1N2U1YzE1NWFjOGUxMzEzODlhZThjOSIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: B, KBLI: 08104];;;45985;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;sedotan pasir;0.855103814;1;1;PENYEDOTAN PASIR <HERY>;TOKARE;tokare;8;8;sedotan pasir tokare kbli08;1;0;1;0;Aktif;TOKARE;0;0;;;NAIK 0702 - 15.15 WITA;6401010011_0_0;-1.8184634;115.9120438;0;0
1085;97333458;JUAL SEMBAKO (ARNOL);TOKARE;6401010011;64;1;10;11;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;eyJpdiI6IlVhSE5LbkF5UUJmWmpLZmVjVGdIRXc9PSIsInZhbHVlIjoiMzhJTzZCNkovUXVQL1ZDZkRJK21mdz09IiwibWFjIjoiMjE4NjFhZGZhM2U3ZjVkMjM5ZTdkN2ZjY2NmNDNmM2I4ZmRjMGY2NzI0YjIyNzE3OWUzZTZhYWZmYTZjNDA5MiIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: G, KBLI: 47112];;;45985;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;jual sembako arnol;0.868154749;1;1;JUAL SEMBAKO <TANDI>;TOKARE;tokare;13;47;jual sembako arnol tokare kbli47;1;0;1;0;Aktif;TOKARE;0;0;;;NAIK 0702 - 15.15 WITA;6401010011_0_0;-1.8184634;115.9120438;0;0
1116;5373231;JUAL SEMBAKO <TANDI>;TOKARE;6401010011;64;1;10;11;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;eyJpdiI6IlpiZ1VCRXlROVFWZVBwSnUxZktid0E9PSIsInZhbHVlIjoicXU5Vy9RR1gwNHJsNys4N0J6b0c5UT09IiwibWFjIjoiN2JhN2Y4M2FjOGEwNGRlZWY1YmUzMzFjNDAxOTQ2MDk0ZWI5ZDRkZDA4NWM2MGIwMjNkNGJiYzg3YjEzZDBlMSIsInRhZyI6IiJ9;;[Kegiatan Usaha: JUAL SEMBAKO, Kategori: G, KBLI: 47112];;;45985;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;jual sembako tandi;0.868154749;1;4;JUAL SEMBAKO (ARNOL);TOKARE;tokare;13;47;jual sembako tandi tokare kbli47;1;0;1;1;Aktif;TOKARE;0;0;;;NAIK 0702 - 15.15 WITA;6401010011_0_0;-1.8184634;115.9120438;0;0
1256;97333485;SEKOLAH MINGGU (YUSPINA);TOKARE;6401010011;64;1;10;11;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;eyJpdiI6ImdaYk9qcDY0TXNtbG5KZUlRdlNKWFE9PSIsInZhbHVlIjoiVkVxRnpLSU0vM0I4emk1c0pCS1JIdz09IiwibWFjIjoiMmEwMjE3MDc2MDUyYmZlYmYyMzYzYTZkZjViMDA1N2E0Njg1ZjA4MGY3YjY1NDZhZmU1MDJhMTNkMTVhMTE1OCIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: P, KBLI: 85121];;;45985;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;sekolah minggu yuspina;0.956472268;1;1;SEKOLAH MINGGU;TOKARE;tokare;15;85;sekolah minggu yuspina tokare kbli85;1;0;1;0;Aktif;TOKARE;0;0;;;NAIK 0702 - 15.15 WITA;6401010011_0_0;-1.8184634;115.9120438;0;0
4286;5373201;JUAL PAKAIAN <ABD HALIB>;PASAR BARU;6401010011;64;1;10;11;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;eyJpdiI6InJOYmk5L2h5UW1ock5ubXhoRUc1WVE9PSIsInZhbHVlIjoiQ29xdk9EaXVyNDhRVk1PQ2JDNDljQT09IiwibWFjIjoiNDg1ZGU1MjRiZjAyODIxMjg5NjFlMGQ3ZDg2ZGE0YmQyMDRhMDE1ZGU0MGVhNzE1ZTkyNjA2YjViNTQwMzJiNyIsInRhZyI6IiJ9;;[Kegiatan Usaha: JUAL PAKAIAN, Kategori: G, KBLI: 47832];;;45985;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;jual pakaian abd halib;0.88421622;1;1;JUAL PAKAIAN <FATMA>;PASAR BARU;pasar baru;44;47;jual pakaian abd halib pasar baru kbli47;1;0;1;1;Aktif;PASAR BARU;0;0;;1;NAIK 0702 - 15.15 WITA;6401010011_0_0;-1.8360983;115.9254075;0;0
4287;5373207;JUAL PAKAIAN <FATMA>;PASAR BARU;6401010011;64;1;10;11;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;eyJpdiI6Ild0T3hKRTFqbkMycW9OU1UvWFlDalE9PSIsInZhbHVlIjoidFdBbjUwWVJiZFVLN21YWUFpa2FIdz09IiwibWFjIjoiYmEwNDU1NTMwMWQwMjI2NGM1N2Q1NTNiYjA3MThiYmExM2QzNjVmODhkZDMxMWE4N2MxMWY1MjEwYzc5YjgwNiIsInRhZyI6IiJ9;;[Kegiatan Usaha: JUAL PAKAIAN JADI, Kategori: G, KBLI: 47832];;;45985;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;jual pakaian fatma;0.88421622;1;4;JUAL PAKAIAN <ABD HALIB>;PASAR BARU;pasar baru;44;47;jual pakaian fatma pasar baru kbli47;1;0;1;1;Aktif;PASAR BARU;0;0;;1;NAIK 0702 - 15.15 WITA;6401010011_0_0;-1.8360983;115.9254075;0;0
4575;5775590;JUAL PULSA <MATIUS>;TOKARE;6401010011;64;1;10;11;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;eyJpdiI6IjgyOXlaMWhldVg1cjRvSmt3U1ZuTkE9PSIsInZhbHVlIjoiNTArT05vamZ2VTNUTzkza0dCT0pwZz09IiwibWFjIjoiZjVlNzdkNmVmYzc0MzdkZGU1MWUxOGZkZDg0OTljMDM2M2FiYzA1NGJhOTBiYzYxODk1NTM4MjI3N2U5ZTk3YyIsInRhZyI6IiJ9;;[Kegiatan Usaha: JUAL PULSA, Kategori: J, KBLI: 61992];;;45985;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;jual pulsa matius;0.870218809;1;1;JUAL PULSA <ARNI S>;TOKARE;tokare;50;61;jual pulsa matius tokare kbli61;1;0;1;1;Aktif;TOKARE;0;0;;;NAIK 0702 - 15.15 WITA;6401010011_0_0;-1.8184634;115.9120438;0;0
