Unnamed: 0;idsbr;nama_usaha;alamat_usaha;kode_wilayah;kdprov;kdkab;kdkec;kddesa;nmprov;nmkab;nmkec;nmdesa;perusahaan_id;skor_kalo;kegiatan_usaha;rank_nama;rank_alamat;history_ref_profiling_id;skala_usaha;sumber_data;latitude;longitude;latlong_status;gcid;gcs_result;allow_cancel;allow_edit;allow_flagging;latitude_gc;longitude_gc;latlong_status_gc;gc_username;nama_usaha_gc;alamat_usaha_gc;lat_2;long_2;cleaned_nama_usaha;sim_score;is_duplicate;gc_flag_duplikat;match_with;alamat_cek;cleaned_alamat;id_duplikat;kbli2d;nama_usaha_with_alamat_and_kbli;hasilgc;flag_shadow;is_perorangan;is_kurung;status_perusahaan;alamat_cleaned;RT;RW;is_in_perumahan;is_in_pasar;flag_notes
11682;55128158;NANANG;Pasar senaken, RT 0/RW 0;6401040016;64;1;40;16;KALIMANTAN TIMUR;PASER;TANAH GROGOT;SENAKEN;eyJpdiI6IkxGWWVVQU5xMENSYlIrcWw1NGpGMmc9PSIsInZhbHVlIjoid2Q4QnhuZVUzRi9yQ1d6ekZkQWdrQT09IiwibWFjIjoiNjY2YTZkYTI0ZmY1NzBhNGQ3NmYxNTc0Nzk0YjhkNWMwYzFhOWM3NDhmZDI1MzYwMzM3ZTYxNzNiNWExNmE5MyIsInRhZyI6IiJ9;;[Kegiatan Usaha: Menjual pakaian, Kategori: G, KBLI: 47711];;;;UMKM;;-1.933935197;116.164607;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;nanang;0;0;0;;;pasar senaken rt 0 rw 0;;47;nanang pasar senaken rt 0 rw 0 kbli47;1;0;1;0;Aktif;Pasar senaken RT 0RW 0;P01;P01;;1;DONE 01/02 - 8.07 PM
11722;55100624;MUHAMMAD ACONG;WILAYAH PASAR SENAKEN, RT 0/RW 0;6401040016;64;1;40;16;KALIMANTAN TIMUR;PASER;TANAH GROGOT;SENAKEN;eyJpdiI6Im9ScVRLUDM4YVdOYU4zSklncjJoTlE9PSIsInZhbHVlIjoibVh2aE5nd1Fxck1JREpWZG92YzZ4QT09IiwibWFjIjoiOTNmMzRkODlkMDE3NzUyMWJmNTcwNjI0M2JkNzQ2NjVjNjYxNmFjNGIxYTVjY2NkMDM2YWYzYjA4NmY2NWIxZiIsInRhZyI6IiJ9;;[Kegiatan Usaha: IKAN BASAH, Kategori: G, KBLI: 47215];;;;UMKM;;-1.89476349;116.2166317;valid;eyJpdiI6IkJHT3JjLzN0czdFeDJqUTdSVFZXeEE9PSIsInZhbHVlIjoicVNqek1CNm40TmFveHRnWkJtaGZsZz09IiwibWFjIjoiZDcxMjU5MTY5YzYwYTU0YTk2ZDA4Mzg2ZmRmYTlmOWViZWM5ODFhZTc4ZDNhM2JjNWJhYTNhMWRkNTM5NDU5NCIsInRhZyI6IiJ9;1;FALSE;FALSE;FALSE;-1.89476349;116.2166317;valid;ahmadfaisal;;;;;muhammad acong;0;0;0;;;wilayah pasar senaken rt 0 rw 0;;47;muhammad acong wilayah pasar senaken rt 0 rw 0 kbli47;1;0;1;0;Aktif;WILAYAH PASAR SENAKEN RT 0RW 0;P01;P01;;1;DONE 01/02 - 8.07 PM
11755;55180931;SURYANI;Wil. Pasar senaken, RT 0/RW 0;6401040016;64;1;40;16;KALIMANTAN TIMUR;PASER;TANAH GROGOT;SENAKEN;eyJpdiI6IlRVL3NTQ0JOcmtOdmxvOUFaSDlrdnc9PSIsInZhbHVlIjoiWmY1RjIxemE2R0FtcHlGcVFwQ0FYZz09IiwibWFjIjoiNzI0ZmMyZGU4MWMyNzRjZmViNzlhMGU2ODBlMzJiOTIxNmE0NDdiNjIxMTMzNjVhNzI4MWRmMTQ0NTE3ZWZlYiIsInRhZyI6IiJ9;;[Kegiatan Usaha: Sembako campuran, Kategori: G, KBLI: 47823];;;;UMKM;;-1.90081498;116.2023553;valid;eyJpdiI6IlNJUDI2aVQrYUU5Q0duRzBvQ1B4VUE9PSIsInZhbHVlIjoiblhWS3RsS2JRRFV4TmtJdGhValRGdz09IiwibWFjIjoiYjBmZWUzOTM1NWNiNWU2NzFjZDI2NzZiYmM4MGVmMGEzMGEyMDIwMTc4ZjgyZTg3ZDU5ZmJhMzhkODY2MDgwMiIsInRhZyI6IiJ9;1;FALSE;FALSE;FALSE;-1.90081498;116.2023553;valid;ahmadfaisal;;;;;suryani;0;0;0;;;wil pasar senaken rt 0 rw 0;;47;suryani wil pasar senaken rt 0 rw 0 kbli47;1;0;1;0;Aktif;Wil Pasar senaken RT 0RW 0;P01;P01;;1;DONE 01/02 - 8.07 PM
11756;55046803;NORANI G;wil.pasar senaken, RT 0/RW 0;6401040016;64;1;40;16;KALIMANTAN TIMUR;PASER;TANAH GROGOT;SENAKEN;eyJpdiI6InRPdGJxWWdqc0hnSmxWRHlwMHBzSGc9PSIsInZhbHVlIjoib28rRnJ6UTh6QWcvUUNsQ0VlRkI4dz09IiwibWFjIjoiNjNkNTVkNGU0NGU4MWI1NmQ0NWQ2ZDVmNWNkNzcwNmY1NDY5Yzc0YzkyZDBkYzY3NTJlOTYyZDFmNTk0YTk5YiIsInRhZyI6IiJ9;;[Kegiatan Usaha: menjual rempah bahan jamu, Kategori: G, KBLI: 47219];;;;UMKM;;-1.933935197;116.164607;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;norani g;0;0;0;;;wil pasar senaken rt 0 rw 0;;47;norani g wil pasar senaken rt 0 rw 0 kbli47;1;0;1;0;Aktif;wilpasar senaken RT 0RW 0;P01;P01;;1;DONE 01/02 - 8.07 PM
11805;55098822;TOKO M.NOOR <NASRUL>;Pasar senaken, RT 0/RW 0;6401040009;64;1;40;9;KALIMANTAN TIMUR;PASER;TANAH GROGOT;JONE;eyJpdiI6IndKK2YwVTFXd0RjcGROU3ZEWGsxamc9PSIsInZhbHVlIjoiS3R3K3BBM2N5TFg2STEyNFNaNWowQT09IiwibWFjIjoiYTgzMzdiZDE0NTNmYjA1Yzg4NTViZWJjYWI5Y2IwNDFkY2EwNTQ4MDZiNWNmNjliNjZjYzE4MGFiYmI5MjI2ZCIsInRhZyI6IiJ9;;[Kegiatan Usaha: Menjual pakaian, Kategori: G, KBLI: 47711];;;;UMKM;;-1.91186297;116.197726;valid;eyJpdiI6Ijk4c2xqQ3VlSmxnbjZIQ3VhSjNHcHc9PSIsInZhbHVlIjoiejJiS0FNVlRQdjY0M0ZyaEdqZVF4QT09IiwibWFjIjoiYjlkZTdhZDZmMzkxODIyZTA2NTI1ZWM1MzA2ZDQxYmY1Yzg2NGY5Y2FmZjZjZjEwZDlkM2QzZGFlZDU1M2Q3OSIsInRhZyI6IiJ9;1;FALSE;FALSE;FALSE;-1.91186297;116.197726;valid;ahmadfaisal;;;;;m noor nasrul;0;0;0;;;pasar senaken rt 0 rw 0;;47;m noor nasrul pasar senaken rt 0 rw 0 kbli47;1;0;1;1;Aktif;Pasar senaken RT 0RW 0;P01;P01;;1;DONE 01/02 - 8.07 PM
11856;55123013;TOKO NISA <KHAIRIN NISA>;Pasar senaken, RT 0/RW 0;6401040009;64;1;40;9;KALIMANTAN TIMUR;PASER;TANAH GROGOT;JONE;eyJpdiI6IjR5WDJJbG11UHJUL04xblBSbi83ZHc9PSIsInZhbHVlIjoiQVBkYy9xVkZXRjl4aWk2NXMvVTE2Zz09IiwibWFjIjoiYTc1MjE4MjI3YzU3Nzk5M2I2OTBjOTE2NGUzZWZkYzg3N2M2YTA3OTcyYjllMDc0ZDMxYjQ3NjU5YTlkYzJhMSIsInRhZyI6IiJ9;;[Kegiatan Usaha: Menjual pakaian, Kategori: G, KBLI: 47711];;;;UMKM;;-1.906423333;116.2025967;valid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;nisa khairin nisa;0;0;0;;;pasar senaken rt 0 rw 0;;47;nisa khairin nisa pasar senaken rt 0 rw 0 kbli47;1;0;1;1;Aktif;Pasar senaken RT 0RW 0;P01;P01;;1;DONE 01/02 - 8.07 PM
11865;55073802;NURLAILA;Pasar senaken, RT 0/RW 0;6401040016;64;1;40;16;KALIMANTAN TIMUR;PASER;TANAH GROGOT;SENAKEN;eyJpdiI6IjN0V2xuRnV4M3lPUDR1Wm1vS2JRZnc9PSIsInZhbHVlIjoiMWdaeFVDbmFkTit6OFcxU2dWV3Y4UT09IiwibWFjIjoiMjUxZmMwZmFmNDMxMTg5NjdhYzU4ZTE2NjhjOGM1YzMyZWIxZjc1ZjllNWQ3NzA3ZDY4YjgyZDE0NmE4MjU5OSIsInRhZyI6IiJ9;;[Kegiatan Usaha: Menjual pakaian, Kategori: G, KBLI: 47711];;;;UMKM;;-1.933935197;116.164607;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;nurlaila;0;0;0;;;pasar senaken rt 0 rw 0;;47;nurlaila pasar senaken rt 0 rw 0 kbli47;1;0;1;0;Aktif;Pasar senaken RT 0RW 0;P01;P01;;1;DONE 01/02 - 8.07 PM
11876;55075836;SAYUR LANDUNG <LANDUNG>;Pasar senaken, RT 0/RW 0;6401040016;64;1;40;16;KALIMANTAN TIMUR;PASER;TANAH GROGOT;SENAKEN;eyJpdiI6IllqTU1FYnJYYW5IOEp6VDBMcGFQelE9PSIsInZhbHVlIjoiWGZwc3FHSEN1cmMzeThQZ3RCWlNnUT09IiwibWFjIjoiMmJlZmZkZDAxNGNiY2JiYTYxNmQxYWM0ZTZlZGE4YjE3NjJmMTdiYTNjOTc0NTc1NDI5YTc3ZjU4ODIxZGY5ZiIsInRhZyI6IiJ9;;[Kegiatan Usaha: Menjual sayur eceran di lapak pasar, Kategori: G, KBLI: 47213];;;;UMKM;;-1.933935197;116.164607;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;sayur landung landung;0;0;0;;;pasar senaken rt 0 rw 0;;47;sayur landung landung pasar senaken rt 0 rw 0 kbli47;1;0;1;1;Aktif;Pasar senaken RT 0RW 0;P01;P01;;1;DONE 01/02 - 8.07 PM
11877;55100537;ARTATI;Wilayah pasar senaken, RT 0/RW 0;6401040016;64;1;40;16;KALIMANTAN TIMUR;PASER;TANAH GROGOT;SENAKEN;eyJpdiI6ImZKRjcveUprNjJUcElacXVFcnZubVE9PSIsInZhbHVlIjoib3ZyNE0vZkRocDJHclQ4aUtBVUxCdz09IiwibWFjIjoiZDJhMGE1NTZhZGQwYTQyN2ExMDAxNmZmOTcyNWQ0MzU0NjgyNTg1OWVlNjZhMmRlMjEzMzQ0MzNjMDAwZDc5MyIsInRhZyI6IiJ9;;[Kegiatan Usaha: Menjual ikan, Kategori: G, KBLI: 47215];;;;UMKM;;-1.904386667;116.2043567;valid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;artati;0;0;0;;;wilayah pasar senaken rt 0 rw 0;;47;artati wilayah pasar senaken rt 0 rw 0 kbli47;1;0;1;0;Aktif;Wilayah pasar senaken RT 0RW 0;P01;P01;;1;DONE 01/02 - 8.07 PM
11893;55075337;TOKO ZAY <ZAINUDIN>;PASAR SENAKEN, RT 0/RW 0;6401040009;64;1;40;9;KALIMANTAN TIMUR;PASER;TANAH GROGOT;JONE;eyJpdiI6IjlqL0ZYcGF1TDFpanBjT05MRVIvZlE9PSIsInZhbHVlIjoid0tkVXJJbFc5R3lsV3pURURhOHkydz09IiwibWFjIjoiMDI5YmJkOWZjYTVmOGU1NWQ3ZWYzYzJhZWUzYjQyZTlhZjIyNDUxMzZmYzg1N2JhZTNiMjM2OWRjOGQzNmUzZSIsInRhZyI6IiJ9;;[Kegiatan Usaha: MENJUAL TAS, Kategori: G, KBLI: 47714];;;;UMKM;;-1.933935197;116.164607;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;zay zainudin;0;0;0;;;pasar senaken rt 0 rw 0;;47;zay zainudin pasar senaken rt 0 rw 0 kbli47;1;0;1;1;Aktif;PASAR SENAKEN RT 0RW 0;P01;P01;;1;DONE 01/02 - 8.07 PM
